,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
2300,Satılık,175,11-15,4,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,135,3+2,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,975000,İstanbul,Maltepe,Aydınevler Mahallesi,Anadolu Yakası,0.161,525.566
2301,Satılık,95,0,4,Boş,Bilinmiyor,Yok,1,Konut,77,2+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1300000,İstanbul,Maltepe,Bağlarbaşı Mahallesi,Anadolu Yakası,0.161,525.566
2302,Satılık,80,0,5,Boş,Bilinmiyor,Yok,2,Konut,75,2+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1350000,İstanbul,Maltepe,Bağlarbaşı Mahallesi,Anadolu Yakası,0.161,525.566
2303,Satılık,80,0,5,Boş,Bilinmiyor,Yok,2,Konut,75,2+1,5. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1450000,İstanbul,Maltepe,Aydınevler Mahallesi,Anadolu Yakası,0.161,525.566
2304,Satılık,85,0,4,Boş,Bilinmiyor,Yok,1,Konut,68,2+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1000000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566
2305,Satılık,153,5-10,30,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,97,3+1,4. Kat,Klimalı,Krediye Uygun,Hayır,Var,Genel Fiyat,3300000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566
2306,Satılık,65,5-10,6,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,45,1+1,3. Kat,Klimalı,Krediye Uygun,Hayır,Var,Genel Fiyat,1400000,İstanbul,Maltepe,Girne Mahallesi,Anadolu Yakası,0.161,525.566
2307,Satılık,90,0,6,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,75,2+1,4. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,980000,İstanbul,Maltepe,Bağlarbaşı Mahallesi,Anadolu Yakası,0.161,525.566
2308,Satılık,50,0,5,Boş,Bilinmiyor,Yok,1,Konut,45,1+1,Yüksek Giriş,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,900000,İstanbul,Maltepe,Fındıklı Mahallesi,Anadolu Yakası,0.161,525.566
2309,Satılık,75,5-10,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,65,1+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,600000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566
